#,Accessor,Description,Name,Parameters,Type
,"const, protected",Width of the border for the element selection highlight,SelectionBorderWidth,,"field, float"
,public,"Creates a new snek list instance for the custom inspector/window.

Set useCustomPropertyDrawer to true only if the list is for a serializable class/struct which uses a custom property drawer.",SnekReorderableList(),"SerializedObject serializedObject, 
SerializedProperty elements, 
bool allowAdd = true, 
bool allowRemove = true, 
bool allowMultiSelect = true,
bool useCustomPropertyDrawer = false","Constructor, SnekReorderableList"
,"const, protected",Default width of the label for each element,DefaultElementLabelWidth,,"field, float"
,"const, protected",Default height for each element,DefaultElementHeight,,"field, float"
,"const, protected",Default height for the list header,DefaultHeaderHeight,,"field, float"
,"const, protected",Default height for the list footer,DefaultFooterHeight,,"field, float"
,"const, protected",Default vertical padding for the GUI of each element,DefaultElementContentVerticalPadding,,"field, float"
,protected,Style of the entire list’s scope,_sectionStyle,,"GUIStyle, field"
,protected,Style of the entire list’s header label,_headerStyle,,"GUIStyle, field"
,protected,"Style for a regular label, mostly intended for element names",_labelStyle,,"GUIStyle, field"
,protected,Style for alert boxes,_alertStyle,,"GUIStyle, field"
,protected,Style for buttons,_buttonStyle,,"GUIStyle, field"
,protected,A reference to the SnekInspectorGUILayoutSettings asset,_visualSettings,,"SnekInspectorGUILayoutSettings, field"
,protected,A reference to the SnekEditorIconsContainer asset,_iconsContainer,,"SnekEditorIconsContainer, field"
,"protected, readonly",Can be used to check if the “Add” button is enabled for the list,_isAddAllowed,,"bool, field"
,"protected, readonly",Can be used to check if the “Remove” button is enabled for the list,_isRemoveAllowed,,"bool, field"
,protected,Returns a collection containing indexes of the currently selected list elements,GetSelectedElements(),,"Method, ReadOnlyCollection<int>"
,"protected, virtual",Override this for custom element GUI vertical padding,GetElementVerticalPadding(),,"Method, float"
,"protected, virtual",Override this for custom header text,GetHeaderLabel(),,"Method, string"
,"protected, virtual",Override this for custom header height,GetHeaderHeight(),,"Method, float"
,"protected, virtual",Override this for custom footer height,GetFooterHeight(),,"Method, float"
,"protected, virtual","Override this for custom list element height for primitive type properties which use a single line of the GUI. 
(string, float, int …)",GetElementHeightDefault(),,"Method, float"
,protected,Returns the default label text value for list elements,GetBaseElementLabel(),int index,"Method, string"
,"protected, virtual","Override this for custom list element text width.

Index allows different width values between elements, in case you want them to be uniform just ignore the parameter",GetElementLabelWidth(),int index,"Method, float"
,protected,Returns true if the list element at the provided index is a part of the current selection,IsElementSelected(),int elementIndex,"Method, bool"
,protected,Returns true if no list element is currently selected,IsSelectionEmpty(),,"Method, bool"
,"protected, virtual","Override with a custom condition if the label should be drawn on all list elements or not, set to true by default.",IsElementLabelAllowed(),,"Method, bool"
,"protected, virtual","Override with a custom condition if GUI interaction should be enabled or not on all list elements or not, set to true by default.",IsElementPropertyInteractionAllowed(),,"Method, bool"
,"public, virtual",Handles the entire drawing logic of SnekReorderableList,Draw(),,"Method, void"
,"protected, virtual",Handles the drawing of the header in the form of a button which toggles the foldout state of the list elements section,DrawHeader(),,"Method, void"
